Country ,Gold,Silver,Bronze,Total Medals
USAUnited States,4,44,42,126
CHNChina,4,27,24,91
GBRGreat Britain,14,22,29,65
FRAFrance,16,26,22,64
AUSAustralia,18,19,16,53
JPNJapan,2,12,13,45
ITAItaly,12,13,15,4
NEDNetherlands,15,7,12,34
GERGermany,12,13,8,33
KORSouth Korea,13,9,1,32
CANCanada,9,7,11,27
NZLNew Zealand,1,7,3,2
BRABrazil,3,7,1,2
HUNHungary,6,7,6,19
ESPSpain,5,4,9,18
UZBUzbekistan,8,2,3,13
IRIIran,3,6,3,12
UKRUkraine,3,5,4,12
BRABrazil,3,7,1,2
SWESweden,4,4,3,11
KENKenya,4,2,5,11
BELBelgium,3,1,6,1
POLPoland,1,4,5,1
ROURomania,3,4,2,9
DENDenmark,2,2,5,9
SLOSlovenia,2,1,,3
CUBCuba,2,1,6,9
NORNorway,4,1,3,8
SUISwitzerland,1,2,5,8
GREGreece,1,1,6,8
TURTurkey,,3,5,8
ITAItaly,12,13,15,4
IRLIreland,4,,3,7
GEOGeorgia,3,3,1,7
BULBulgaria,3,1,3,7
CROCroatia,2,2,3,7
AZEAzerbaijan,2,2,3,7
TPEChinese Taipei,2,,5,7
HUNHungary,6,7,6,19
ISRIsrael,1,5,1,7
KAZKazakhstan,1,3,3,7
THAThailand,1,3,2,6
RSASouth Africa,1,3,2,6
JAMJamaica,1,3,2,6
PRKNorth Korea,,2,4,6
KGZKyrgyzstan,,2,4,6
INDIndia,,1,5,6
SRBSerbia,3,1,1,5
CZECzechia,3,,2,5
AUTAustria,2,,3,5
ECUEcuador,1,2,2,5
MEXMexico,,3,2,5
BRNBahrain,2,1,1,4
PHIPhilippines,2,,2,4
HKGHong Kong,2,,2,4
ETHEthiopia,1,3,,4
PORPortugal,1,2,1,4
COLColombia,,3,1,4
ARMArmenia,,3,1,4
LTULithuania,,2,2,4
MDAMoldova,,1,3,4
SLOSlovenia,2,1,,3
INAIndonesia,2,,1,3
ALGAlgeria,2,,1,3
TUNTunisia,1,1,1,3
EGYEgypt,1,1,1,3
ARGArgentina,1,1,1,3
DOMDominican Republic,1,,2,3
TJKTajikistan,,,3,3
UGAUganda,1,1,,2
LCASaint Lucia,1,1,,2
BOTBotswana,1,1,,2
CHIChile,1,1,,2
MARMorocco,1,,1,2
GUAGuatemala,1,,1,2
KOSKosovo,,1,1,2
MASMalaysia,,,2,2
GRNGrenada,,,2,2
ALBAlbania,,,2,2
PURPuerto Rico,,,2,2
DMADominica,1,,,1
PAKPakistan,1,,,1
PANPanama,,1,,1
JORJordan,,1,,1
MGLMongolia,,1,,1
FIJFiji,,1,,1
CYPCyprus,,1,,1
EORRefugee Olympic Team,,,1,1
ZAMZambia,,,1,1
SGPSingapore,,,1,1
QATQatar,,,1,1
PERPeru,,,1,1
CPVCape Verde,,,1,1
CIVIvory Coast,,,1,1
SVKSlovakia,,,1,1
